_id,chunk_text
vec_1,"Spring 2026 Undergraduate Catalog: The catalog contains information about our courses, degree requirements, and academic polices. This publication, accurate as of October 2025, pertains to the Spring 2026 semester. Use the dropdown menu on the top right of this catalog if you wish to view the archived Fall 2025 Undergraduate Catalog. Use the Bulletin Archives tab to view University Bulletins from Spring 2025 and previous terms. Stony Brook University follows the policies of the SUNY Board of Trustees. Fees and charges are determined accordingly and may change due to policy updates or legislative actions during the covered period. The official Undergraduate Catalog is published online, updated at the start of each registration cycle, and archived. The March edition covers Summer Sessions and Fall, while the October edition covers Winter Session and Spring. If conflicts arise between the catalog and other university sources, the catalog prevails for courses and academic policies. The University reserves the right to amend the catalog at any time without notice to reflect changes in policy, law, or regulation. Federal, State, and accreditation regulations take precedence over catalog information. This publication is available in alternative formats upon request. The Office of the Registrar produces the Undergraduate Catalog. Stony Brook University is accredited by theMiddle States Commission on Higher Education(MSCHE)."
vec_2,Catalog Search: Choose search categories to narrow or expand your search.
vec_3,"General Information: The Stony Brook University Police Department is mandated to protect all members of the campus community by investigating all incidents or allegations of bias or hate crimes, and by preventing such crimes that occur within the campus’ jurisdiction. In addition to preventing and investigating hate/bias crimes, the Stony Brook University Police Department also assists in addressing bias-related activities that do not rise to the level of a crime. For more information, please visit the University Police Department’sBias-Crime Preventionwebsite. The Advisory Committee on Campus Safety will provide upon request all campus crime statistics as reported to the United States Department of Edu­ca­tion. Contact University Police at (631) 632-6350. Visit the United States Department of Education Web site for campus data statisticshttp://ope.ed.gov/security/index.aspxand search for Stony Brook. STONY BROOK UNIVERSITY/SUNY IS AN AFFIRMATIVE ACTION, EQUAL OPPORTUNITY EDUCATOR AND EMPLOYER. Consistent with federal and state guidelines, Stony Brook University does not discriminate on the basis of race, sex, sexual orientation, gender identity or expression, religion, age, color, creed, national or ethnic origin, disability, marital status, familial status, pregnancy, genetic predisposition, criminal convictions, domestic violence victim status, and veteran or military status and all other protected classes under federal or state laws in its educational programs or employment. If you are a student or an employee of Stony Brook University and you consider yourself to be a target of discrimination or harassment, you may file a complaint in writing with the Office of Institutional Diversity and Equity. If you choose to file a complaint within the University, you do not lose your right to file with an outside enforcement agency such as the State Division of Human Rights, Equal Employment Opportunity Commission, or the Office of Civil Rights. Any questions concerning this policy or allegations of noncompliance should be directed to: Office of Institutional Diversity and EquityAdministration Building, Room 201(631) 632-6280 The Americans with Disabilities Act (ADA), which became effective January 26, 1992, requires that individuals with disabilities be afforded equal opportu­nity in the areas of public services and programs, employment, transportation, and communications. Prior to this federal legislation, the University had been subject to similar provisions under Sections 503 and 504 of the Rehabilitation Act of 1973. In compliance with the ADA’s broader definition of disabilities, the University makes concerted efforts to provide reasonable accommodation and access to services and programs. For more information contact: Assistant ADA CoordinatorStudent Accessibility Support Center (SASC)Stony Brook Union Suite 107Stony Brook UniversityStony Brook, NY 11794-3216(631) 632-6748/9, V/TDD The University wishes to maintain public order appropriate to a university campus without unduly limiting or restricting the freedom of speech or peaceful assembly. The State University Board of Trustees’ Rules for the Maintenance of Public Order (Part 535 of Title VIII-Compilation of Codes, Rules, and Regulations of the State of New York) are printed in the Student Conduct Code brochure. For the Rules of Public Order, please visithttps://www.stonybrook.edu/commcms/studentaffairs/ucs/policies/order.php. Questions regarding the Conduct Code, the hearing process, procedures for filing a complaint, or volunteering to become a student hearing board member can be directed to: Office of University Community Standards348 Administration Building(631) 632-6705 The Federal Family Educational Rights and Privacy Act of 1974 (FERPA), as amended, sets out requirements designed to protect the privacy of students concerning their records maintained by the campus. FERPA affords students certain rights with respect to their education records. For more information regarding these rights, please visit the Office of the Registrar’s FERPApage. Stony Brook University recognizes that higher education is a significant and lasting investment and thus is committed to providing accurate and complete consumer information.The following Consumer Information is availablehere: Stony Brook’s academic programs, including the University faculty, instructional, laboratory, and physical facilities; student financial assistance; the University Student Conduct Code and the State University of New York’s Rules for the Maintenance of Public Order; campus safety policy and crime statistics; the University alcohol and drug policy; Stony Brook’s intercollegiate athletic program participation and financial support; and student retention, graduation, and placement rates. Students are responsible for reviewing, understanding, and abiding by the University’s regulations, procedures, requirements, and deadlines as described in official publications, including, by way of example only, this Undergraduate Bulletin, the University Student Con­duct Code, the Student Handbook, and class schedules. The University Student Conduct Code provides students, faculty, staff, and visitors with a procedural guide to initiate a complaint against a student when their rights as members or visitors to the University community have been allegedly violated. For all students, the Conduct Code supports compliance with state and federal laws pertaining to drugs, alcohol, weapons, physical assault, harassment, sexual harassment, sexual assault or abuse, acquaintance (date) rape, relationship violence, discrimination, and racial and sexual preference harassment. Intervention by the Office of University Standards addresses inappropriate conduct and also serves to educate students on how their conduct affected themselves, others, and the University community. University expectations for student conduct as outlined in the University Student Conduct Code are reviewed through the Rules Revision Committee that includes student participation. To obtain a copy of the Conduct Code or Alcohol Policy, see:https://studentaffairs.stonybrook.edu/ucs/docs/universitystudentconductcode.pdf Students (undergraduate and graduate, resident and commuter) can apply to become Administrative Hearing Board volunteers. When selected, Hearing Board members are trained to hear evidence and render fair and objective decisions on allegations brought to the formal hearing process. Questions regarding the Conduct Code, the hearing process, procedures for filing a complaint, or volunteering to become a student hearing board member can be directed to: Office of University Community Standards348 Administration Building(631) 632-6705"
vec_4,"Policies and Regulations: Students are responsible for reviewing, understanding, and abiding by the University’s regulations, procedures, requirements, and deadlines as described in official publications including this Catalog, the Student Handbook, and online Class Schedule. The information in the Policies and Regulations section of the Catalog applies to students in undergraduate programs on the West Campus (College of Arts and Sciences, College of Business, College of Engineering and Applied Sciences, School of Marine and Atmospheric Sciences, and the School of Communication and Journalism), Stony Brook Southampton, and to those planning to apply to programs in the Health Sciences Center. Unless stated otherwise, academic policies are considered in effect as of the most recent publication of the online catalog, or around April 1 for Summer/Fall and November 1 for Winter/Spring. The University reserves the right to amend the Undergraduate Catalog at any time and without notice to reflect modifications in policy, law, or regulation. Potential alterations might include, by way of example only, degree requirements, course offerings, fees, and calendar listings. In the event of a change, the university will attempt but is not required to notify students."
vec_5,"Colleges and Schools: The College of Arts and Sciences is the intellectual core of the University, spanning the sciences, mathematics, humanities, social sciences and fine arts. Our elite faculty are curious scientists, scholars, artists and thinkers, driven for excellence in their disciplines and poised to mentor the next generation of leaders, thinkers and creators. View information for theCollege of Arts and Sciences,including a list of departments, services, and more. The college prepares students for leadership roles, fosters entrepreneurial growth and conducts the latest research that informs business practice. Our prominent faculty achieve rigorous standards for research productivity and teaching effectiveness. We attract top-quality students and engage them in the highest level of hands-on education. View information for theCollege of Business, including a list of departments, services, and more. Our award-winning faculty educate journalists, public communicators and news consumers to value and transmit information that adheres to the highest standards of clarity, accuracy and reliability. Our school was created specifically to prepare you for a dynamic and evolving multi-media future. View information for theSchool of Communication and Journalism, including a list of departments, services, and more. Stony Brook is inventing the future of engineering and applied sciences education, research, and professional practice. CEAS is committed to advancing an innovative, cross-cutting research agenda at the nexus of engineering with medicine and natural and social sciences, well-positioned to drive regional and national economic development. View information for theCollege of Engineering and Applied Sciences, including a list of departments, services, and more. Our location on Long Island allows students and faculty to explore a variety of habitats and to tap into nearby resources like the National Weather Service. SoMAS faculty are internationally known for their leadership in research in the atmospheric sciences, all the major disciplines of oceanography and sustainability studies. View information for theSchool of Marine and Atmospheric Sciences, including a list of departments, services, and more."
vec_6,"The Stony Brook Curriculum (SBC): All students must complete General Education requirements by completing the Stony Brook Curriculum (SBC). Students are responsible for completing the general education requirements published in the bulletin or catalog that was current as of the first semester of matriculation (or rematriculation). The following groups of students will complete the general education requirements as defined by the Stony Brook Curriculum, commonly referred to as SBC. Students who are not in the above groups will complete the Diversified Education Curriculum (D.E.C). D.E.C. requirements for each student are published in the bulletin that was current as of the first semester of matriculation (or rematriculation). The Stony Brook Curriculum includes both breadth and depth of study, and ensures that students will learn skills necessary for life-long learning. Use the course search to search for courses that complete SBC categories. Through the general education curriculum, students will: DEMONSTRATE VERSATILITYby showing proficiency in each of ten fundamental categories: Note 1:CEAS majors, the Athletic Training major, the Respiratory Care major, and the Clinical Laboratory Sciences major are exempt from the LANG category. Students enrolled in the major in Social Work are exempt from the LANG category, but are required to enroll in and pass with a letter grade of C or higher the first semester of an elementary foreign language course numbered 111, or satisfy through alternate methods (see Communicate in a Human Language Other than English–LANG). EXPLORE INTERCONNECTEDNESSby completing a course that examines significant relationships betweenScience or Technology and the Arts, Humanities, or Social Sciences (STAS). PURSUE DEEPER UNDERSTANDINGby completing advanced studies in three of four distinct areas of knowledge. A “+” sign in the abbreviations for these categories signifies that most courses in this category will be relatively advanced courses at the 200- to 400-level. These categories are: PREPARE FOR LIFE-LONG LEARNINGby taking (in most cases) courses which may also satisfy other SBC, major or other degree requirements. Note 2:Students are responsible for completing the general education requirements published in the Bulletin that was current as of the first semester of matriculation (or rematriculation). The following student groups must satisfy the DIV category as part of their degree requirements: Students may reduce the number of courses needed to achieve the Stony Brook Curriculum categories through university certified AP credit, courses certified in more than one area, challenge exams, on-campus placement tests, course waivers, and faculty-designed themed course clusters. In accordance with SUNY policy, at a minimum, students must complete at least 30 credits of General Education awarded by an institution of higher education. In order to satisfy the SBC categories, a passing letter grade or a grade of S must be earned in the corresponding course. Recorded grades of P, NC, U or F will not satisfy SBC categories. LANG, WRT, and QPS categories must be passed with a grade of C or higher. A detailed list of the courses and activities that fulfill these objectives may be found in the university undergraduate Bulletin. Many of the above requirements may be fulfilled as part of a student’s major or minor. Students who have completed the Stony Brook Curriculum will have met all requirements for the SUNY General Education Framework. Note on Courses Satisfying SBC categories:"
vec_7,Majors: Major Combined Degree
vec_8,Minors: Minor
vec_9,"Course Descriptions: The following is a list of all undergraduate courses currently offered by Stony Brook University. Users can search by course prefix, number and/or keyword. Note:Users that would like to view comprehensive course information (description, credits, SBC, prerequisites etc) for all courses within a specific subject can use the following steps:"
vec_10,Bulletin Archives: Please clickhereto view archived versions of the Undergraduate Bulletin and course listings.
